รหัสสถานี,สถานี, มกราคม , กุมภาพันธ์ , มีนาคม , เมษายน , พฤษภาคม , มิถุนายน , กรกฎาคม , สิงหาคม , กันยายน , ตุลาคม , พฤศจิกายน , ธันวาคม ,รวม,BTS/MRT
BL11,บางซื่อ ,"36,467","44,494","68,968","36,339","24,595","50,616","46,298","52,325","78,996","137,303","196,781","202,436","975,618",MRT
BL12,กำแพงเพชร ,"51,419","70,750","93,115","50,779","28,837","37,522","18,556","12,334","34,272","56,189","62,480","71,112","587,365",MRT
BL13,สวนจตุจักร ,"306,972","401,802","578,028","299,526","174,290","238,118","155,432","123,521","188,158","273,584","370,030","420,839","3,530,300",MRT
BL14,พหลโยธิน ,"180,567","240,805","330,496","173,667","98,037","136,939","81,651","57,443","115,006","173,223","224,889","263,672","2,076,395",MRT
BL15,ลาดพร้าว ,"170,644","210,949","287,489","154,440","101,467","127,508","87,209","71,062","103,946","142,304","183,017","204,223","1,844,258",MRT
BL16,รัชดาภิเษก,"82,602","101,571","140,616","73,848","49,358","64,699","44,557","36,567","56,065","68,963","87,166","90,518","896,530",MRT
BL17,สุทธิสาร,"180,321","214,380","294,111","157,051","104,104","129,749","88,013","68,870","101,467","131,970","171,606","186,596","1,828,238",MRT
BL18,ห้วยขวาง ,"234,229","289,903","392,147","211,949","140,703","176,884","118,984","94,159","143,565","193,622","249,817","281,901","2,527,863",MRT
BL19,ศูนย์วัฒน์ฯ ,"195,485","249,887","366,021","178,320","106,649","134,981","84,472","66,574","103,619","144,443","199,915","214,321","2,044,687",MRT
BL20,พระราม 9 ,"315,024","386,978","543,961","283,178","183,034","232,690","142,067","98,700","195,176","261,543","337,705","399,454","3,379,510",MRT
BL21,เพชรบุรี ,"288,322","397,432","626,658","291,599","183,486","238,463","156,624","126,462","183,181","246,866","350,481","390,375","3,479,949",MRT
BL22,สุขุมวิท,"418,001","530,525","744,178","388,489","247,651","316,084","205,333","167,772","262,802","363,445","495,149","573,754","4,713,183",MRT
BL23,ศูนย์ฯ สิริกิติ์,"117,560","147,814","209,330","109,645","66,567","83,280","59,283","50,014","70,269","94,726","130,782","136,952","1,276,222",MRT
BL24,คลองเตย,"33,896","42,203","59,619","30,989","21,202","27,478","20,052","15,926","23,677","33,194","42,588","44,403","395,227",MRT
BL25,ลุมพินี,"120,030","155,128","228,967","113,759","67,415","84,161","57,004","46,515","64,699","90,506","136,455","142,347","1,306,986",MRT
BL26,สีลม,"243,998","303,501","430,069","221,492","139,991","182,529","124,316","107,880","145,440","196,399","274,050","299,447","2,669,112",MRT
BL27,สามย่าน,"148,186","203,375","304,767","145,639","86,495","123,238","67,857","55,488","89,845","133,305","188,201","216,989","1,763,385",MRT
BL28,หัวลำโพง,"88,028","118,242","161,002","86,099","52,175","65,038","42,865","36,364","49,957","73,287","99,218","115,987","988,262",MRT
BL29,วัดมังกร,"123,819","219,104","194,925","98,484","58,221","72,561","46,028","41,827","65,621","109,509","128,608","171,013","1,329,720",MRT
BL30,สามยอด,"80,853","110,138","143,330","76,134","48,999","59,747","37,235","31,822","51,695","73,364","93,968","111,721","919,006",MRT
BL31,สนามไชย,"36,728","59,136","82,741","36,245","18,441","23,877","14,872","13,150","20,307","31,231","45,737","60,651","443,116",MRT
BL32,อิสรภาพ,"64,965","88,056","114,114","62,488","42,175","53,381","36,278","29,645","42,544","58,118","75,268","86,513","753,545",MRT
