จำนวนผู้โดยสารรถไฟฟ้ามหานครสายเฉลิมรัชมงคล (สีน้ำงิน) รายสถานี ปี พ.ศ. 2564 ,,,,,,,,,,,,,จำนวนผู้โดยสารรถไฟฟ้ามหานครสายเฉลิมรัชมงคล (สีน้ำงิน) รายสถานี ปี พ.ศ. 2564 ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
สถานี, มกราคม ,, กุมภาพันธ์ ,, มีนาคม ,, เมษายน ,, พฤษภาคม ,, มิถุนายน ,,สถานี, กรกฎาคม ,, สิงหาคม ,, กันยายน ,, ตุลาคม ,, พฤศจิกายน ,, ธันวาคม ,,รวม,,,,,,,
, เข้า , ออก , เข้า , ออก , เข้า , ออก , เข้า , ออก , เข้า , ออก , เข้า , ออก ,, เข้า , ออก , เข้า , ออก , เข้า , ออก , เข้า , ออก , เข้า , ออก , เข้า , ออก ,,,,,,,,
คลองเตย," 33,896 "," 32,079 "," 42,203 "," 39,471 "," 59,619 "," 54,016 "," 30,989 "," 29,214 "," 21,202 "," 19,707 "," 27,478 "," 26,050 ",คลองเตย," 20,052 "," 19,252 "," 15,926 "," 15,369 "," 23,677 "," 22,310 "," 33,194 "," 31,510 "," 42,588 "," 39,646 "," 44,403 "," 41,107 "," 764,958 ",,,,,,,
ลุมพินี," 120,030 "," 130,010 "," 155,128 "," 166,633 "," 228,967 "," 246,024 "," 113,759 "," 121,829 "," 67,415 "," 72,252 "," 84,161 "," 90,432 ",ลุมพินี," 57,004 "," 61,454 "," 46,515 "," 49,608 "," 64,699 "," 69,386 "," 90,506 "," 95,866 "," 136,455 "," 141,829 "," 142,347 "," 149,692 "," 2,702,001 ",,,,,,,
สีลม," 243,998 "," 245,057 "," 303,501 "," 305,849 "," 430,069 "," 433,685 "," 221,492 "," 222,256 "," 139,991 "," 138,802 "," 182,529 "," 180,555 ",สีลม," 124,316 "," 121,503 "," 107,880 "," 102,600 "," 145,440 "," 143,555 "," 196,399 "," 195,645 "," 274,050 "," 272,001 "," 299,447 "," 303,255 "," 5,333,875 ",,,,,,,
สามย่าน," 148,186 "," 150,305 "," 203,375 "," 207,146 "," 304,767 "," 310,231 "," 145,639 "," 146,677 "," 86,495 "," 86,672 "," 123,238 "," 124,348 ",สามย่าน," 67,857 "," 66,325 "," 55,488 "," 52,193 "," 89,845 "," 89,197 "," 133,305 "," 134,235 "," 188,201 "," 190,135 "," 216,989 "," 221,479 "," 3,542,328 ",,,,,,,
หัวลำโพง," 88,028 "," 82,666 "," 118,242 "," 112,258 "," 161,002 "," 151,813 "," 86,099 "," 84,239 "," 52,175 "," 49,610 "," 65,038 "," 62,134 ",หัวลำโพง," 42,865 "," 40,175 "," 36,364 "," 33,230 "," 49,957 "," 47,433 "," 73,287 "," 70,852 "," 99,218 "," 96,986 "," 115,987 "," 114,446 "," 1,934,104 ",,,,,,,
วัดมังกร," 123,819 "," 123,425 "," 219,104 "," 227,331 "," 194,925 "," 200,223 "," 98,484 "," 100,000 "," 58,221 "," 57,544 "," 72,561 "," 71,431 ",วัดมังกร," 46,028 "," 45,345 "," 41,827 "," 41,822 "," 65,621 "," 65,382 "," 109,509 "," 109,306 "," 128,608 "," 129,151 "," 171,013 "," 172,035 "," 2,672,715 ",,,,,,,
สามยอด," 80,853 "," 74,168 "," 110,138 "," 99,234 "," 143,330 "," 132,735 "," 76,134 "," 70,738 "," 48,999 "," 43,747 "," 59,747 "," 54,127 ",สามยอด," 37,235 "," 33,118 "," 31,822 "," 27,484 "," 51,695 "," 47,169 "," 73,364 "," 67,278 "," 93,968 "," 87,541 "," 111,721 "," 102,547 "," 1,758,892 ",,,,,,,
สนามไชย," 36,728 "," 37,275 "," 59,136 "," 56,839 "," 82,741 "," 76,618 "," 36,245 "," 36,137 "," 18,441 "," 17,404 "," 23,877 "," 23,637 ",สนามไชย," 14,872 "," 14,325 "," 13,150 "," 12,369 "," 20,307 "," 19,972 "," 31,231 "," 31,205 "," 45,737 "," 46,868 "," 60,651 "," 62,097 "," 877,862 ",,,,,,,
อิสรภาพ," 64,965 "," 64,207 "," 88,056 "," 84,792 "," 114,114 "," 111,709 "," 62,488 "," 61,684 "," 42,175 "," 42,597 "," 53,381 "," 53,324 ",อิสรภาพ," 36,278 "," 36,846 "," 29,645 "," 30,759 "," 42,544 "," 43,098 "," 58,118 "," 58,647 "," 75,268 "," 76,230 "," 86,513 "," 85,115 "," 1,502,553 ",,,,,,,
ท่าพระ," 72,576 "," 67,394 "," 90,788 "," 83,887 "," 122,472 "," 112,707 "," 69,264 "," 64,077 "," 49,333 "," 46,425 "," 61,615 "," 57,092 ",ท่าพระ," 42,496 "," 40,510 "," 34,381 "," 33,071 "," 50,208 "," 47,383 "," 67,910 "," 63,402 "," 87,214 "," 80,582 "," 96,523 "," 88,542 "," 1,629,852 ",,,,,,,
บางไผ่," 21,743 "," 20,222 "," 29,912 "," 26,781 "," 39,116 "," 34,813 "," 21,782 "," 20,162 "," 16,359 "," 15,977 "," 19,897 "," 18,827 ",บางไผ่," 14,311 "," 14,065 "," 11,821 "," 11,791 "," 16,398 "," 15,303 "," 22,244 "," 20,783 "," 27,416 "," 25,178 "," 30,573 "," 28,291 "," 523,765 ",,,,,,,
บางหว้า," 111,648 "," 97,700 "," 148,817 "," 129,674 "," 203,636 "," 179,869 "," 108,380 "," 95,984 "," 68,790 "," 62,140 "," 89,829 "," 79,939 ",บางหว้า," 58,793 "," 52,542 "," 46,255 "," 41,386 "," 74,220 "," 64,694 "," 107,217 "," 94,736 "," 141,213 "," 124,918 "," 159,318 "," 140,226 "," 2,481,924 ",,,,,,,
เพชรเกษม 48 ," 30,938 "," 30,345 "," 37,658 "," 36,410 "," 50,021 "," 47,789 "," 29,103 "," 28,888 "," 21,747 "," 21,734 "," 26,169 "," 26,242 ",เพชรเกษม 48 ," 19,052 "," 19,339 "," 15,530 "," 16,150 "," 22,796 "," 22,855 "," 30,462 "," 30,243 "," 38,226 "," 38,025 "," 43,055 "," 41,576 "," 724,353 ",,,,,,,
ภาษีเจริญ ," 64,840 "," 76,330 "," 84,281 "," 102,187 "," 102,860 "," 126,263 "," 62,316 "," 75,251 "," 40,999 "," 49,049 "," 52,561 "," 63,618 ",ภาษีเจริญ ," 32,127 "," 37,724 "," 21,279 "," 23,443 "," 49,203 "," 59,251 "," 71,821 "," 86,118 "," 86,779 "," 105,310 "," 99,979 "," 119,871 "," 1,693,460 ",,,,,,,
บางแค ," 51,357 "," 58,418 "," 64,379 "," 72,192 "," 75,955 "," 82,433 "," 47,395 "," 50,178 "," 35,688 "," 39,305 "," 43,895 "," 48,310 ",บางแค ," 30,968 "," 34,800 "," 25,463 "," 29,822 "," 38,129 "," 41,935 "," 51,022 "," 55,966 "," 62,572 "," 69,657 "," 69,628 "," 75,384 "," 1,254,851 ",,,,,,,
หลักสอง," 162,826 "," 164,566 "," 217,713 "," 218,081 "," 287,238 "," 289,049 "," 165,164 "," 167,062 "," 106,288 "," 107,862 "," 136,615 "," 139,261 ",หลักสอง," 90,733 "," 94,711 "," 73,146 "," 77,016 "," 115,071 "," 119,664 "," 165,337 "," 169,788 "," 216,452 "," 219,024 "," 242,156 "," 244,861 "," 3,989,684 ",,,,,,,
จรัญฯ 13," 31,977 "," 33,336 "," 40,701 "," 42,287 "," 54,961 "," 57,611 "," 31,613 "," 33,229 "," 23,772 "," 24,695 "," 29,158 "," 30,136 ",จรัญฯ 13," 20,779 "," 21,396 "," 17,875 "," 18,509 "," 24,519 "," 25,326 "," 31,633 "," 32,945 "," 40,167 "," 41,819 "," 44,960 "," 45,073 "," 798,477 ",,,,,,,
ไฟฉาย," 30,717 "," 31,856 "," 37,805 "," 39,242 "," 50,090 "," 52,820 "," 29,091 "," 30,454 "," 21,226 "," 22,070 "," 25,840 "," 27,183 ",ไฟฉาย," 18,720 "," 19,694 "," 15,944 "," 17,258 "," 22,057 "," 23,095 "," 29,009 "," 30,414 "," 38,176 "," 39,134 "," 42,135 "," 42,029 "," 736,059 ",,,,,,,
บางขุนนนท์," 42,851 "," 43,458 "," 56,586 "," 57,305 "," 76,987 "," 78,691 "," 42,761 "," 43,302 "," 29,719 "," 30,229 "," 38,361 "," 39,032 ",บางขุนนนท์," 27,608 "," 28,171 "," 23,402 "," 23,813 "," 32,721 "," 33,194 "," 45,272 "," 45,511 "," 58,129 "," 59,537 "," 64,829 "," 65,812 "," 1,087,281 ",,,,,,,
บางยี่ขัน," 53,318 "," 57,686 "," 72,487 "," 77,884 "," 101,348 "," 110,366 "," 54,269 "," 58,434 "," 36,813 "," 39,262 "," 47,286 "," 50,433 ",บางยี่ขัน," 31,696 "," 33,920 "," 25,461 "," 27,672 "," 39,734 "," 42,291 "," 55,020 "," 59,069 "," 73,602 "," 79,428 "," 84,286 "," 89,529 "," 1,401,294 ",,,,,,,
สิรินธร," 34,243 "," 32,137 "," 46,808 "," 43,555 "," 65,698 "," 61,372 "," 33,856 "," 31,755 "," 23,991 "," 22,654 "," 29,727 "," 28,196 ",สิรินธร," 22,538 "," 21,149 "," 18,936 "," 17,662 "," 26,492 "," 24,301 "," 34,610 "," 31,444 "," 46,548 "," 42,648 "," 52,451 "," 47,386 "," 840,157 ",,,,,,,
บางพลัด," 19,283 "," 19,560 "," 24,754 "," 24,729 "," 33,014 "," 33,721 "," 19,361 "," 19,487 "," 13,693 "," 14,109 "," 17,580 "," 17,743 ",บางพลัด," 12,941 "," 13,280 "," 10,815 "," 11,422 "," 15,424 "," 15,415 "," 19,957 "," 20,181 "," 25,515 "," 26,291 "," 28,623 "," 28,592 "," 485,490 ",,,,,,,
บางอ้อ," 36,581 "," 34,312 "," 45,710 "," 43,008 "," 64,485 "," 60,702 "," 35,876 "," 33,682 "," 24,523 "," 23,247 "," 30,733 "," 29,190 ",บางอ้อ," 22,821 "," 21,925 "," 19,499 "," 18,979 "," 26,485 "," 25,090 "," 35,353 "," 33,275 "," 47,660 "," 44,205 "," 54,405 "," 49,992 "," 861,738 ",,,,,,,
บางโพ," 38,227 "," 38,480 "," 52,623 "," 51,552 "," 72,328 "," 69,644 "," 37,579 "," 36,822 "," 25,102 "," 24,948 "," 31,779 "," 31,504 ",บางโพ," 21,325 "," 20,865 "," 17,254 "," 17,030 "," 26,275 "," 26,633 "," 35,171 "," 36,054 "," 47,028 "," 47,954 "," 54,157 "," 54,269 "," 914,603 ",,,,,,,
รวม," 4,321,241 "," 4,301,592 "," 5,637,195 "," 5,614,393 "," 7,794,861 "," 7,767,052 "," 4,067,969 "," 4,050,611 "," 2,581,935 "," 2,572,594 "," 3,340,588 "," 3,330,768 ",รวม," 2,201,894 "," 2,192,209 "," 1,781,481 "," 1,769,491 "," 2,770,039 "," 2,759,614 "," 3,889,132 "," 3,870,670 "," 5,180,608 "," 5,149,985 "," 5,852,302 "," 5,822,585 "," 98,620,809 ",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,แหล่งข้อมูล : การรถไฟฟ้าขนส่งมวลชนแห่งประเทศไทย,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
